,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
TU ES UN BANDA,Tu es de l'ethnie Gbaya; C'est vous de l'ethnie de Bozizé là non; Nous sommes des Gbaka-Mandja;  ,TU ES UN BANDA,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,"Non pas celui là, il est  de l'église Apôstolique (Car vous priez en criant; ",VAGIN DE TA MERE,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
PERE,"Toi là , es-tu une personne ou un animal ; ",PERE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,"Non pas celui là, c'est un fervent de Bozizé; ",QUALIFICATION NEFASTE,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
BORDELLE,"Toi là, tu n'es qu'un simple temporaire de moto-taxi, est ce tu as meme une moto?",BORDELLE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Tu agis seulemnt  comme les peuhls,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
Salete,Regarde ces gros yeux; ,Salete,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
Simple Banda,Tu agis mal exprèssement; ,Simple Banda,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Moi je déteste souvent votre ethnie là; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
"Gbagbara ,Guere","Regarde,on t'encule; ","Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
I mo na i gbongo,"Non celui là, il est trop noir; ",I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Regardez moi comment il est; ,"Zanga ,Kodjos,Djrif",,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
fetiche,Vous les policiers là; ,fetiche,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"Regarde le, chrétien; ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
KOTA BE,Regarde-mo ce chiot; ,KOTA BE,Jalousie,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,votre ethnie est vantarde,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,"Les stupides comme vous là, je fais quoi avec vous; ",MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
HAINE,Regarde moi cet idiot là; ,HAINE,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Toi étranger aussi, tu nous fais la gueule?",A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
UN ANIMAL,Là c'est un comportement des prostituées;,UN ANIMAL,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
HAINE," Zaïroi migrant, vient d'abord; ",HAINE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
TU ES UN BANDA,Quand-est-ce tu es arrivé dans ce quartier?; ,TU ES UN BANDA,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,c'est du mensonge!,VAGIN DE TA MERE,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
PERE,je ne serais pas victime de ta sorcellerie,PERE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,"Regarde, stupide; ",QUALIFICATION NEFASTE,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
BORDELLE,C'est vous les fervents de Bozizé là; ,BORDELLE,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Enculé; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
Salete,Les prostituées là; ,Salete,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
Simple Banda, cet esclave fait quoi au milieu des gens; Vous voulez vanter toujours;,Simple Banda,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Vous les banda là  vous ètes trop surexcités (contexte sexuel); ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Regarde ses gonflées joues; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Tu es un enfant de la rue; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif","Regarde-le,,  chien de Touadéra(Porteur de cache nez contre COVID-19); ","Zanga ,Kodjos,Djrif",,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
fetiche,Regarde-moi cette bète là; ,fetiche,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Tu ne veux pas prendre la douche; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
KOTA BE,garde le silence! Toi étranger profiteur,KOTA BE,Jalousie,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,"Regarde-le, sale bète; ",ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,c'est un sorcier Sorcier; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
HAINE,Vous les étrangers profiteurs; ,HAINE,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,il faudrait trahir les épouses des milices musulmans;,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
UN ANIMAL,Je n'aime pas quelqu'un qui est jaloux; ,UN ANIMAL,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
HAINE,C'est un crapuleux; ,HAINE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
TU ES UN BANDA,tu es esclave,TU ES UN BANDA,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,"C'est l'enfant de ma tante paternelle,",VAGIN DE TA MERE,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
PERE,"Celui là, est une personne à problème",PERE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,"Regarde, ce chiot; ",QUALIFICATION NEFASTE,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
BORDELLE,"Regardele , espèce de l'âne; ",BORDELLE,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo","Tu demeure encore sous couvert, mais tu oses faire la gueule! ","Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
Salete,"Va là bas, car tu es de l'ethnie banda; ",Salete,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
Simple Banda,"Toi peuhl, méfies-toi; ",Simple Banda,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Regarde-moi ce étranger qui est labas; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",ces caprices débordent,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
I mo na i gbongo,"Toi là, tu es venu quand?",I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Ton cul;,"Zanga ,Kodjos,Djrif",,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
fetiche,Regarde moi ce vieux père là; ,fetiche,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"ceux là, sont venus  quand? ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
KOTA BE,La maison ; ,KOTA BE,Jalousie,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,"Regarde le, crapuleux; ",ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Regarde moi sa bouche en forme de O; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
HAINE,"Toi là, tu es un fervent de Touadera, donc pardon laisse nous; ",HAINE,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Regarde le, Musulman indicipliné; ",A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
UN ANIMAL,Nos frères là disent souvent qu'ils sont les sorciers (mangeur de chair humaine),UN ANIMAL,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
HAINE,"Regarde moi celui en veste là,c'est  un grand escroc;",HAINE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
TU ES UN BANDA,"Regarde-le , il est en train de chercher à voler; ",TU ES UN BANDA,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Regarde comment il est maigre; ,VAGIN DE TA MERE,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
PERE,Il est trop stupide; ,PERE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,"Mais on dira quoi alors,les épouses des conducteurs de moto-taxi;  ",QUALIFICATION NEFASTE,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
BORDELLE,"Si tu n'apprécies pas , bouches tes oreilles; ",BORDELLE,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",je ne serais pas victime de ta sorcellerie,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
Salete,Celui de l'ethnie Mandjà là; ,Salete,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
Simple Banda,"Celui là, il n'a pas de réflexe; ",Simple Banda,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
"Anti Balaka,AK47","Regarde la, prostitiuée; ","Anti Balaka,AK47",Milices chrétiens; ,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere","Regarde le , Peuhl; ","Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
I mo na i gbongo,"Regarde la, femme Fainéante; ",I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif","Regarde le ,musulman; ","Zanga ,Kodjos,Djrif",,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
fetiche,"Celui là, c'est un musulman; ",fetiche,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"Toi là, on t'encule; ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
KOTA BE,"Toi là aussi, on peut te considérer parmis les qui?;",KOTA BE,Jalousie,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,"Regardeces yeux, un praticien; ",ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,"Toi chrétien converti à l'islam, vient d'abord; ",MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
HAINE,Laissez nous tranquille; nous ne sommes plus à votre époque,HAINE,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"vous les vieux là, toujours vous ètes là; ",A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
UN ANIMAL,"Ceux là d'hier, tu les voyait?; Ils se vantaient!;",UN ANIMAL,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
HAINE,"avec tes yeux rouge là, tu aurais consommé la drogue en prenant le comprimé Tramadole; ",HAINE,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,"Regarde le, drogué suite à la prise du comprimé Tramadole; ",TU ES UN BANDA,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,"Regarde le, Faux type; ",VAGIN DE TA MERE,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
PERE,"D'accord , tel que tu as dit, tant que je ne retrouve pas mon argent, je vais te tuer;",PERE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,"Regarde le, un grand voleur; ",QUALIFICATION NEFASTE,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
BORDELLE,Tu es un athé,BORDELLE,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo","tu te nomme, grace aux milices chrétiens; ","Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
Salete,"Lorsqu'on combattait les ennemis là, est-ce tu était là; ",Salete,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
Simple Banda,"Vous là, votre temps est révolu; ",Simple Banda,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
"Anti Balaka,AK47","s'il te plaît, ne l'appelle pas c'est un partisan de Touadéra; ","Anti Balaka,AK47",Milices chrétiens; ,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",as-tu vu un de ton niveau parmi nous?,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
I mo na i gbongo,"Toi là , tu ne connais rien; ",I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif","Hé toi, je ne suis pas de ta promotion; ","Zanga ,Kodjos,Djrif",,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
fetiche,tu manques de propriété,fetiche,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"Regarde le, Musulman indicipliné; ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
KOTA BE,"Regardez moi leurs yeux, les chiens de Touadéra (porteur de cache-nez contre COVID-19); ",KOTA BE,Jalousie,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Regarde moi ce voyou là; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,"Regarde toi, quand nous combattions les ennémis, est ce que tu était là; ",MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
HAINE,"Celui là, un musulman ; ",HAINE,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Drogué, c'est toujours vous les conducteurs de moto-taxis; ",A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
UN ANIMAL,C'est toi là aussi; Quand-est ce que tu es venu; ,UN ANIMAL,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
HAINE,méfies-toi de moi; Je peux te tuer ; ,HAINE,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
TU ES UN BANDA,"Regarde le , Mauvais chauffeur, il ne sait même pas conduire ;",TU ES UN BANDA,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Regarde-le peuhl; ,VAGIN DE TA MERE,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
PERE,"Celui là, c'est un yakoma; ",PERE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,"Regarde le , enfant de la rue; ",QUALIFICATION NEFASTE,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
BORDELLE,regarde ce  vieux assis làbas ; ,BORDELLE,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo","Regarde le, chiot;  ","Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
Salete,"Regarde-le, milice chrétien; ",Salete,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
Simple Banda,les épouses des maris endettés ; ,Simple Banda,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47","C'est votre régime, donc profitez-en ; ","Anti Balaka,AK47",Milices chrétiens; ,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Tu commences déjà à devenir un mature; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Regarde-le corps puant; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif","Regarde le , avec ce qu'il est entrain d'y faire là; ","Zanga ,Kodjos,Djrif",,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
fetiche,"au moins toi, en devenant vieux que pourait-tu produire?",fetiche,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"Toi là, tu es un consommateur de l'alcool de traite; ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
KOTA BE,"Toi le chiot, on peut se ressembler?",KOTA BE,Jalousie,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,ton anus; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,"Cette femme là, je l'ai déjà baisé; ",MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
HAINE,Tu es un étranger profiteur; ,HAINE,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,"Mangez bien , car c'est votre tour; ",A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
UN ANIMAL,Tu es un peuhl; ,UN ANIMAL,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
HAINE,Tu es un étranger profiteur; ,HAINE,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
TU ES UN BANDA,Tu es de l'ethnie Gbaya;,TU ES UN BANDA,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Tu es un milice chrétien; ,VAGIN DE TA MERE,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
PERE,Dégages avec tes stupidités là; ,PERE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Vous les vieux là; ,QUALIFICATION NEFASTE,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
BORDELLE,"Regarde la, prostitiuée; Tu m'as déjà vu un jour baisée une prostituée; ",BORDELLE,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo","Les arrivistes là, est-ce leur territoire?","Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
Salete,Là c'est l'amusement de vagin de la mère; ,Salete,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
Simple Banda,Prostituée; ,Simple Banda,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",les peulhs mangeurs de la viande boucanée,"Anti Balaka,AK47",Milices chrétiens; ,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",les peulhs mangeurs de la viande boucanée,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
I mo na i gbongo,"Eh toi, prostituée; ",I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif","vous les  musulmans stupides, vous dérangez trop","Zanga ,Kodjos,Djrif",,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
fetiche,tu es musulman,fetiche,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,"Ceux là, sont des moutons; ",d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
KOTA BE,Ces musulmans ont refusé; ,KOTA BE,Jalousie,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Si les policiers arrivent tout le monde doit se lever; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Prostituée; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
HAINE,Tu es une prostituée;,HAINE,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Toi prostituée; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
UN ANIMAL,"Venez me jetez sur la route, sale bandit; ",UN ANIMAL,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
HAINE,c'est quelle mère ça !,HAINE,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,mon ami,TU ES UN BANDA,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Mes frères,VAGIN DE TA MERE,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
PERE,Nos frères qui ont utilisé les armes leurs propres frères; ,PERE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Mes chères sœurs;,QUALIFICATION NEFASTE,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
BORDELLE,Tu es mon frère,BORDELLE,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Ma sœur; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
